English language name                                                            | ISO 639-3 code | ISO 639-2 code | ISO 639-1 code
---------------------------------------------------------------------------------+----------------+----------------+---------------
!Xóõ                                                                             | nmn            |                |               
'Are'are                                                                         | alu            |                |               
'Auhelawa                                                                        | kud            |                |               
//Ani                                                                            | hnh            |                |               
//Gana                                                                           | gnk            |                |               
/Gwi                                                                             | gwj            |                |               
=/Hua                                                                            | huc            |                |               
A'ou                                                                             | aou            |                |               
A-Pucikwar                                                                       | apq            |                |               
Aari                                                                             | aiw            |                |               
Aasáx                                                                            | aas            |                |               
Abadi                                                                            | kbt            |                |               
Abaga                                                                            | abg            |                |               
Abai Sungai                                                                      | abf            |                |               
Abanyom                                                                          | abm            |                |               
Abar                                                                             | mij            |                |               
Abau                                                                             | aau            |                |               
Abaza                                                                            | abq            |                |               
Abellen Ayta                                                                     | abp            |                |               
Abidji                                                                           | abi            |                |               
Abinomn                                                                          | bsa            |                |               
Abkhazian                                                                        | abk            | abk            | ab            
Abom                                                                             | aob            |                |               
Abon                                                                             | abo            |                |               
Abron                                                                            | abr            |                |               
Abu                                                                              | ado            |                |               
Abu' Arapesh                                                                     | aah            |                |               
Abua                                                                             | abn            |                |               
Abui                                                                             | abz            |                |               
Abun                                                                             | kgr            |                |               
Abure                                                                            | abu            |                |               
Abureni                                                                          | mgj            |                |               
Abé                                                                              | aba            |                |               
Acatepec Me'phaa                                                                 | tpx            |                |               
Achagua                                                                          | aca            |                |               
Achang                                                                           | acn            |                |               
Ache                                                                             | yif            |                |               
Acheron                                                                          | acz            |                |               
Achi                                                                             | acr            |                |               
Achinese                                                                         | ace            | ace            |               
Achterhoeks                                                                      | act            |                |               
Achuar-Shiwiar                                                                   | acu            |                |               
Achumawi                                                                         | acv            |                |               
Aché                                                                             | guq            |                |               
Acoli                                                                            | ach            | ach            |               
Adabe                                                                            | adb            |                |               
Adamawa Fulfulde                                                                 | fub            |                |               
Adamorobe Sign Language                                                          | ads            |                |               
Adang                                                                            | adn            |                |               
Adangbe                                                                          | adq            |                |               
Adangme                                                                          | ada            | ada            |               
Adara                                                                            | kad            |                |               
Adasen                                                                           | tiu            |                |               
Adele                                                                            | ade            |                |               
Adhola                                                                           | adh            |                |               
Adi                                                                              | adi            |                |               
Adilabad Gondi                                                                   | wsg            |                |               
Adioukrou                                                                        | adj            |                |               
Adivasi Oriya                                                                    | ort            |                |               
Adiwasi Garasia                                                                  | gas            |                |               
Adnyamathanha                                                                    | adt            |                |               
Adonara                                                                          | adr            |                |               
Aduge                                                                            | adu            |                |               
Adyghe; Adygei                                                                   | ady            | ady            |               
Adzera                                                                           | adz            |                |               
Aeka                                                                             | aez            |                |               
Aekyom                                                                           | awi            |                |               
Aer                                                                              | aeq            |                |               
Afade                                                                            | aal            |                |               
Afar                                                                             | aar            | aar            | aa            
Afghan Sign Language                                                             | afg            |                |               
Afitti                                                                           | aft            |                |               
Afrihili                                                                         | afh            | afh            |               
Afrikaans                                                                        | afr            | afr            | af            
Afro-Asiatic languages                                                           | afa            | afa            |               
Afro-Seminole Creole                                                             | afs            |                |               
Agarabi                                                                          | agd            |                |               
Agariya                                                                          | agi            |                |               
Agatu                                                                            | agc            |                |               
Aghem                                                                            | agq            |                |               
Aghu                                                                             | ahh            |                |               
Aghul                                                                            | agx            |                |               
Agi                                                                              | aif            |                |               
Agob                                                                             | kit            |                |               
Agoi                                                                             | ibm            |                |               
Aguacateco                                                                       | agu            |                |               
Aguaruna                                                                         | agr            |                |               
Aguna                                                                            | aug            |                |               
Agusan Manobo                                                                    | msm            |                |               
Agutaynen                                                                        | agn            |                |               
Agwagwune                                                                        | yay            |                |               
Ahanta                                                                           | aha            |                |               
Aheri Gondi                                                                      | esg            |                |               
Aheu                                                                             | thm            |                |               
Ahirani                                                                          | ahr            |                |               
Ahtena                                                                           | aht            |                |               
Ahwai                                                                            | nfd            |                |               
Ai-Cham                                                                          | aih            |                |               
Aighon                                                                           | aix            |                |               
Aikanã                                                                           | tba            |                |               
Aiklep                                                                           | mwg            |                |               
Aimaq                                                                            | aiq            |                |               
Aimele                                                                           | ail            |                |               
Aimol                                                                            | aim            |                |               
Ainbai                                                                           | aic            |                |               
Ainu (China)                                                                     | aib            |                |               
Ainu                                                                             | ain            | ain            |               
Aiome                                                                            | aki            |                |               
Airoran                                                                          | air            |                |               
Aiton                                                                            | aio            |                |               
Aja (Benin)                                                                      | ajg            |                |               
Aja (Sudan)                                                                      | aja            |                |               
Ajië                                                                             | aji            |                |               
Ajumbu                                                                           | muc            |                |               
Ajyíninka Apurucayali                                                            | cpc            |                |               
Ak                                                                               | akq            |                |               
Aka                                                                              | soh            |                |               
